Date,SPY,AAPL,GOOG,MRK,JNJ,WMT,TGT
1/3/19,-0.0239,-0.0996,-0.0285,-0.0205,-0.0159,-0.0051,-0.0137
1/4/19,0.0335,0.0427,0.0538,0.0301,0.0168,0.0062,0.0137
1/7/19,0.0079,-0.0022,-0.0022,-0.011,-0.0064,0.0118,0.0489
1/8/19,0.0094,0.0191,0.0074,0.0074,0.0232,0.007,-0.001
1/9/19,0.0047,0.017,-0.0015,-0.0076,-0.0079,-0.0033,0.0098
1/10/19,0.0035,0.0032,-0.004,-0.0123,0.006,7e-04,-0.0285
1/11/19,4e-04,-0.0098,-0.0123,0.0056,3e-04,-0.0013,0.0193
1/14/19,-0.0061,-0.015,-0.0118,-0.0204,-0.0113,0.0012,-0.0111
1/15/19,0.0115,0.0205,0.0311,0.0154,0.0084,0.0137,-0.0092
1/16/19,0.0024,0.0122,0.0035,0.0015,-0.0102,0.001,-0.0053
1/17/19,0.0076,0.0059,0.0083,0.0133,0.0082,0.004,0.0224
1/18/19,0.0133,0.0062,0.0077,0.0036,0.0124,0.0102,0.0189
1/22/19,-0.0135,-0.0224,-0.0253,-5.00E-04,-0.0145,-0.0025,-0.0057
1/23/19,0.0021,0.004,0.0047,-0.0051,0,0.0125,6e-04
1/24/19,5e-04,-0.0079,-0.0016,-0.0301,-0.0137,-0.0035,0.0041
1/25/19,0.0085,0.0331,0.0159,-0.003,0.0094,-0.0144,0.0252
1/28/19,-0.0076,-0.0093,-0.0192,-4.00E-04,0.0059,0.0012,-0.0037
1/29/19,-0.0013,-0.0104,-0.0088,0.0043,0.0104,-0.0036,-0.0058
1/30/19,0.0158,0.0683,0.0268,0.0019,0.0101,-0.0197,0.0088
1/31/19,0.0088,0.0072,0.0251,0.0144,0.0109,0.0109,0.0093
2/1/19,5e-04,5e-04,-0.005,0.0271,0.0084,-0.0206,-0.0251
2/4/19,0.007,0.0284,0.0199,0.0055,-0.0098,0.0097,0.0178
2/5/19,0.0042,0.0171,0.0116,0.0036,0,0.0088,0.0046
2/6/19,-0.0013,3e-04,-0.0268,0.0031,9e-04,4e-04,-0.0036
2/7/19,-0.0095,-0.0189,-0.0148,-0.0074,-0.0071,0.0114,-0.009
2/8/19,0.0012,0.0012,-0.0033,0.0091,0.0027,-0.0119,-0.0136
2/11/19,6e-04,-0.0058,0,-0.0104,-0.003,0.0065,-0.0103
2/12/19,0.0129,0.0086,0.0241,0.0236,0.0164,0.008,0.0037
2/13/19,0.0032,-0.0042,-0.0011,0.0064,0.0022,0.01,0.0307
2/14/19,-0.0022,0.0036,0.0013,-0.001,-0.001,0.0059,-0.0054
2/15/19,0.0109,-0.0022,-0.0072,0.011,0.0154,0.0149,0.0091
2/19/19,0.0017,0.003,0.0044,-0.0071,-0.0051,0.0221,0.0152
2/20/19,0.002,0.0064,-0.0043,0.0024,0.0049,-0.0227,-0.008
2/21/19,-0.0036,-0.0056,-0.0151,0.005,-0.0068,-0.0049,-0.0094
2/22/19,0.0062,0.0112,0.0122,0.0118,0.0087,0.0016,0.0031
2/25/19,0.0014,0.0073,-9.00E-04,-0.0048,0.0037,-0.0043,0.0118
2/26/19,-7.00E-04,6e-04,0.0052,0.0045,-7.00E-04,-0.0043,-0.0111
